rank,rank_in_position,player_name,team_short,position_group,matches,minutes,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement
188,42,Lachlan Bayliss,Newcastle Jets,Midfield,17,84.6,35.4,33.8,28.3,30.2,38.3,48.1
189,28,Arion Sulemani,Melbourne City,Center Forward,3,69.4,35.3,52.5,41.0,5.8,9.9,53.7
189,41,Zach Lisolajski,Perth Glory,Full Back,9,89.9,35.3,55.0,45.3,17.3,21.1,28.1
191,38,Austin Ludwik,Brisbane Roar,Central Defender,3,68.2,35.2,20.1,26.6,48.9,42.9,31.8
192,39,Aaron Gurd,Sydney FC,Central Defender,3,93.7,34.5,48.4,36.2,28.6,27.7,34.8
193,40,Scott Wootton,Wellington,Central Defender,25,97.9,34.3,8.8,6.8,68.3,58.6,28.9
194,29,Adam Zimarino,Brisbane Roar,Center Forward,3,66.3,33.3,7.9,27.7,66.2,46.6,28.3
195,43,Charles M'Mombwa,Newcastle Jets,Midfield,4,68.6,33.2,90.1,23.2,21.3,27.6,32.8
196,44,Zane William Schreiber,Melbourne City,Midfield,10,75.0,33.0,16.4,36.8,33.5,42.0,27.3
196,43,Abdelelah Faisal,Perth Glory,Wide Attacker,3,71.5,33.0,62.0,30.3,12.1,12.3,35.7
198,30,Hiroshi Ibusuki,Western United,Center Forward,24,87.2,32.5,12.9,26.9,51.6,48.3,27.3
198,41,Tomislav Uskok,Macarthur,Central Defender,19,97.7,32.5,16.6,35.0,30.7,44.3,49.4
200,44,Marlee Francois,Auckland,Wide Attacker,6,64.6,32.4,40.8,38.2,26.1,15.6,39.3
201,31,Max Mata,Auckland,Center Forward,7,73.6,32.0,24.8,27.7,36.0,33.0,36.6
202,42,Tommy Smith,Auckland,Central Defender,12,99.5,31.7,56.0,31.8,17.2,40.0,46.8
203,32,Alou Kuol,Central Coast,Center Forward,18,82.3,31.4,73.2,35.4,18.2,13.4,23.7
203,32,Chris Ikonomidis,Macarthur,Center Forward,5,76.6,31.4,29.6,43.6,23.7,34.1,26.0
205,43,Lucas Herrington,Brisbane Roar,Central Defender,15,95.6,31.3,15.3,29.8,32.4,54.7,41.9
206,45,William  Freney,Perth Glory,Midfield,4,77.4,30.2,47.9,57.6,12.9,28.6,22.2
207,42,Louis Zabala,Brisbane Roar,Full Back,7,86.8,29.7,7.4,23.8,69.1,37.3,20.1
208,44,Tomislav Mrčela,Perth Glory,Central Defender,19,98.1,29.3,17.0,33.2,19.8,52.1,59.6
208,43,Javi López ,Adelaide United,Full Back,6,94.4,29.3,17.8,15.0,56.3,57.8,8.2
210,46,Liam Rose,Macarthur,Midfield,10,75.4,27.1,52.1,4.6,40.5,23.9,15.1
211,45,Matthew Jurman,Macarthur,Central Defender,10,90.0,26.4,20.1,12.7,31.7,66.3,40.6
212,44,Anas Hamzaoui,Perth Glory,Full Back,5,85.7,26.3,3.8,22.2,21.0,58.1,35.4
213,45,Callan Elliot,Auckland,Full Back,6,88.6,26.2,33.7,23.2,15.9,45.0,11.5
214,46,Harry Van Der Saag,Brisbane Roar,Full Back,6,76.6,25.9,12.6,18.2,21.2,29.1,55.2
214,47,Wataru Kamijo,Sydney FC,Midfield,4,81.3,25.9,35.7,37.4,17.3,37.9,6.0
216,45,Christian Theoharous,Central Coast,Wide Attacker,10,67.7,25.4,22.3,6.4,69.5,35.4,9.9
217,46,Jacob  Brazete,Brisbane Roar,Wide Attacker,4,71.5,23.3,30.8,15.8,37.2,26.4,12.4
218,34,Ryan Edmondson,Central Coast,Center Forward,5,73.1,22.5,61.0,28.7,9.1,14.8,7.3
219,46,Kévin Boli,Macarthur,Central Defender,8,93.1,21.1,31.9,15.5,17.7,30.3,36.0
220,48,James Jeggo,Melbourne City,Midfield,3,80.4,20.8,15.6,23.1,34.0,14.7,8.6
